ticker,company,sector,financial_year,revenue_cr,expenses_cr,operating_profit_cr,operating_margin_pct_reported,interest_cr,depreciation_cr,profit_before_tax_cr,tax_pct_reported,net_profit_cr,eps_rs,dividend_payout_pct,equity_capital_cr,reserves_cr,equity_cr,borrowings_cr,deposits_cr,other_liabilities_cr,total_liabilities_cr,fixed_assets_cr,cwip_cr,investments_cr,other_assets_cr,total_assets_cr,operating_cash_flow_cr,investing_cash_flow_cr,financing_cash_flow_cr,net_cash_flow_cr,free_cash_flow_cr
BRITANNIA.NS,Britannia Industries,FMCG,2025,17943.0,14766.0,3176.0,18.0,139.0,313.0,2927.0,26.0,2178.0,90.45,83.0,24.0,4332.0,4356.0,1247.0,,3235.0,8837.0,2904.0,89.0,2865.0,2978.0,8837.0,2481.0,87.0,-2762.0,-194.0,2110.0
BRITANNIA.NS,Britannia Industries,FMCG,2026,19152.0,15637.0,3514.0,18.0,113.0,337.0,3289.0,23.0,2537.0,105.18,86.0,24.0,5082.0,5106.0,1380.0,,3245.0,9732.0,2850.0,39.0,3610.0,3233.0,9732.0,2612.0,-757.0,-1783.0,72.0,2408.0
CIPLA.NS,Cipla,Pharmaceuticals,2015,11345.0,9183.0,2163.0,19.0,168.0,505.0,1654.0,24.0,1229.0,14.71,14.0,161.0,10641.0,10802.0,1703.0,,3166.0,15670.0,6830.0,581.0,640.0,7620.0,15670.0,1173.0,-950.0,165.0,388.0,548.0
CIPLA.NS,Cipla,Pharmaceuticals,2016,13790.0,11310.0,2480.0,18.0,207.0,754.0,1727.0,19.0,1383.0,16.93,12.0,161.0,11356.0,11517.0,5202.0,,4331.0,21049.0,9368.0,2061.0,759.0,8862.0,21049.0,1741.0,-4533.0,3104.0,312.0,688.0
CIPLA.NS,Cipla,Pharmaceuticals,2017,14394.0,11898.0,2496.0,17.0,159.0,1323.0,1222.0,15.0,1035.0,12.51,16.0,161.0,12383.0,12544.0,4113.0,,4213.0,20869.0,9492.0,1683.0,973.0,8721.0,20869.0,2382.0,-1304.0,-1326.0,-248.0,1284.0
CIPLA.NS,Cipla,Pharmaceuticals,2018,15156.0,12329.0,2826.0,19.0,114.0,1323.0,1669.0,15.0,1417.0,17.52,17.0,161.0,14068.0,14229.0,4098.0,,4346.0,22673.0,9950.0,981.0,1259.0,10483.0,22673.0,1463.0,-834.0,-385.0,243.0,723.0
CIPLA.NS,Cipla,Pharmaceuticals,2019,16362.0,13265.0,3097.0,19.0,168.0,1326.0,2079.0,27.0,1492.0,18.96,16.0,161.0,14851.0,15012.0,4316.0,,4433.0,23762.0,9608.0,676.0,2554.0,10923.0,23762.0,1691.0,-1688.0,-349.0,-345.0,1187.0
CIPLA.NS,Cipla,Pharmaceuticals,2020,17132.0,13926.0,3206.0,19.0,197.0,1175.0,2178.0,29.0,1500.0,19.18,21.0,161.0,15602.0,15763.0,2816.0,,4843.0,23423.0,9683.0,825.0,1471.0,11444.0,23423.0,3068.0,114.0,-2949.0,234.0,2083.0
CIPLA.NS,Cipla,Pharmaceuticals,2021,19160.0,14907.0,4252.0,22.0,161.0,1068.0,3290.0,27.0,2389.0,29.82,17.0,161.0,18165.0,18326.0,2014.0,,4514.0,24855.0,9516.0,969.0,2710.0,11661.0,24855.0,3755.0,-2374.0,-1240.0,141.0,2964.0
CIPLA.NS,Cipla,Pharmaceuticals,2022,21763.0,17211.0,4553.0,21.0,106.0,1052.0,3493.0,27.0,2547.0,31.19,16.0,161.0,20680.0,20841.0,1056.0,,4960.0,26857.0,9683.0,766.0,2551.0,13857.0,26857.0,3326.0,-1858.0,-1600.0,-132.0,2645.0
